,course_number,course_name,description,work_load,prerequisits
28,BIOL 152,Evolution and Organismal Biology (4),"Introduction to evolution and organismal biology. Evolutionary processes that resulted in the biodiversity of life on Earth. Physiological processes and ecological challenges for organisms. (3 hours lecture, 3 hours laboratory/fieldwork; weekend field trips required)","3 hours lecture, 3 hours laboratory/fieldwork; weekend field trips required",['BIOL 151 with a “C” (2.0) or better.']
29,CHEM 120A,General Chemistry (5),"For majors and minors in the physical and biological sciences. The principles of chemistry: stoichiometry, acids, bases, redox reactions, gas laws, solid and liquid states, changes of state, modern atomic concepts, periodicity and chemical bonding. Laboratory: elementary syntheses, spectroscopy and volumetric quantitative analysis. (3 hours lecture, 3 hours laboratory, 2 hours activity)","3 hours lecture, 3 hours laboratory, 2 hours activity","['CHEM 115 with a “C” (2.0) or better', 'or pass the chemistry placement examination.']"
30,CHEM 120B,General Chemistry (5),"For majors and minors in the physical and biological sciences, chemical thermodynamics, chemical equilibrium (gaseous, aqueous, acid-base, solubility and complexation), elementary electrochemistry and chemical kinetics. Laboratory: quantitative and qualitative analysis and elementary physical chemistry; some qualitative analysis. (3 hours lecture, 6 hours laboratory).","3 hours lecture, 6 hours laboratory",['CHEM 120A with a “C” (2.0) or better.']
31,CHEM 123,Chemistry for Engineers (3),"Fundamental concepts of chemistry for engineering students. Atomic structure, periodic table, stoichiometry, states of matter, chemical bonding, new materials, solutions, thermodynamics, reaction rates, equilibrium, electrochemistry, polymers and nuclear reactions.","Fundamental concepts of chemistry for engineering students. Atomic structure, periodic table, stoichiometry, states of matter, chemical bonding, new materials, solutions, thermodynamics, reaction rates, equilibrium, electrochemistry, polymers and nuclear reactions.",['MATH 125  or MATH 150A.']
32,CHEM 125,General Chemistry B Lecture (3),"For students who do not need a second semester of general chemistry lab. Chemical thermodynamics, chemical equilibrium (gaseous, aqueous, acid-base, solubility and complexion), elementary electrochemistry and chemical kinetics. Not open to students with credit in CHEM 120B.","gaseous, aqueous, acid-base, solubility and complexion","['CHEM 120A or CHEM 123', 'all with a “C” (2.0) or better.']"
33,GEOL 101,Introduction to Geology (3),"Introduction to the science of rocks, fossils, volcanoes, earthquakes, landscapes and oceans. Natural hazards, geology in everyday life and geology as field of practice. High school algebra recommended.","Introduction to the science of rocks, fossils, volcanoes, earthquakes, landscapes and oceans. Natural hazards, geology in everyday life and geology as field of practice. High school algebra recommended.",[]
34,GEOL 101L,Introduction to Geology Laboratory (1),"Hands-on analysis and evaluation of rocks, maps, geologic time and Earth processes. Natural hazards, geology in everyday life and scientific inquiry.","Hands-on analysis and evaluation of rocks, maps, geologic time and Earth processes. Natural hazards, geology in everyday life and scientific inquiry.",[]
35,GEOL 201,Earth History (3),"Evolution of Earth as interpreted from rocks, fossils and geologic structures. Plate tectonics provides a unifying theme for consideration of mountain building, evolution of life and ancient environments. (2 hours lecture, 3 hours laboratory, field trips)","2 hours lecture, 3 hours laboratory, field trips",['GEOL 101L or GEOL 102.']
36,GEOL 201L,Earth History Supplemental Lab (1),"Supervised research on topics related to Earth history. Project will result in a term paper and/or web page. (3 hours laboratory, field trips)","3 hours laboratory, field trips",['GEOL 201.']
37,MATH 250A,Calculus III (4),"Calculus of functions of several variables. Partial derivatives and multiple integrals with applications. Parametric curves, vector-valued functions, vector fields, line integrals, Green’s Theorem, Stokes’ theorem, the Divergence Theorem, vectors and the geometry of 3-space.","Calculus of functions of several variables. Partial derivatives and multiple integrals with applications. Parametric curves, vector-valued functions, vector fields, line integrals, Green’s Theorem, Stokes’ theorem, the Divergence Theorem, vectors and the geometry of 3-space.",['MATH 106 or MATH 150B.']
38,MATH 250B,Introduction to Linear Algebra and Differential Equations (4),"Introduction to the solutions of ordinary differential equations and their relationship to linear algebra. Topics include matrix algebra, systems of linear equations, vector spaces, linear independence, linear transformations and eigenvalues.","Introduction to the solutions of ordinary differential equations and their relationship to linear algebra. Topics include matrix algebra, systems of linear equations, vector spaces, linear independence, linear transformations and eigenvalues.",['MATH 250A.']
39,PHYS 225,Fundamental Physics: Mechanics (3),Classical Newtonian mechanics; linear and circular motion; energy; linear/angular momentum; systems of particles; rigid body motion; wave motion and sound.,Classical Newtonian mechanics; linear and circular motion; energy; linear/angular momentum; systems of particles; rigid body motion; wave motion and sound.,['MATH 150A with a “C-” (1.7) or better. Corequisite']
40,PHYS 225L,Fundamental Physics: Laboratory (1),Laboratory for PHYS 225. Instructional fee required. (3 hours laboratory),3 hours laboratory,['PHYS 225.']
41,PHYS 226,Fundamental Physics: Electricity and Magnetism (3),"Electrostatics, electric potential, capacitance, dielectrics, electrical circuits, resistance, emf, electromagnetic induction, magnetism and magnetic materials, and introduction to Maxwell’s equations.","Electrostatics, electric potential, capacitance, dielectrics, electrical circuits, resistance, emf, electromagnetic induction, magnetism and magnetic materials, and introduction to Maxwell’s equations.","['MATH 150B, PHYS 225 with a “C” (2.0) or better. Corequisite']"
42,PHYS 226L,Fundamental Physics: Laboratory (1),Laboratory for PHYS 226. Instructional fee required. (3 hours laboratory),3 hours laboratory,['PHYS 226.']
43,PHYS 227,"Fundamental Physics: Waves, Optics, and Modern Physics (1-3)","Geometrical and physical optics, wave phenomena; quantum physics, including the photoelectric effect, line spectra and the Bohr atom; the wave nature of matter, Schroedinger’s equation and solutions; the Uncertainty Principle, special theory of relativity.","Geometrical and physical optics, wave phenomena; quantum physics, including the photoelectric effect, line spectra and the Bohr atom; the wave nature of matter, Schroedinger’s equation and solutions; the Uncertainty Principle, special theory of relativity.",['PHYS 226 with a “C” (2.0) or better. Corequisite']
44,PHYS 227L,Fundamental Physics: Laboratory (1),Laboratory for PHYS 227. Instructional fee required. (3 hours laboratory),3 hours laboratory,['PHYS 227.']
45,CPSC 254,Software Development with Open Source Systems (3),"Philosophy of open source software development, open source operating systems such as Linux; open source development tools; open source programming languages, such as Python; open source software development processes; open source software licensing issues. (2 hours lecture, 2 hours laboratory)","2 hours lecture, 2 hours laboratory","['CPSC 131', 'Computer Science or Computer Engineering major or minor.']"
46,CPSC 301,Programming Lab Practicum (2),"Intensive programming covering concepts learned in lower-division courses. Procedural and object oriented design, documentation, arrays, classes, file input/output, recursion, pointers, dynamic variables, data and file structures.","Intensive programming covering concepts learned in lower-division courses. Procedural and object oriented design, documentation, arrays, classes, file input/output, recursion, pointers, dynamic variables, data and file structures.","['CPSC 131', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
47,CPSC 349,Web Front-End Engineering (3),"Concepts and architecture of interactive web applications, including markup, stylesheets and behavior. Functional and object-oriented aspects of JavaScript. Model-view design patterns, templates and frameworks. Client-side technologies for asynchronous events, real-time interaction and access to back-end web services.","Concepts and architecture of interactive web applications, including markup, stylesheets and behavior. Functional and object-oriented aspects of JavaScript. Model-view design patterns, templates and frameworks. Client-side technologies for asynchronous events, real-time interaction and access to back-end web services.",['CPSC 131.']
48,CPSC 352,Cryptography (3),"Introduction to cryptography and steganography. Encryption, cryptographic hashing, certificates, and signatures. Classical, symmetric-key, and public-key ciphers. Block modes of operation. Cryptanalysis including exhaustive search, man-in-the-middle, and birthday attacks. Programing projects involving implementation of cryptographic systems.","Introduction to cryptography and steganography. Encryption, cryptographic hashing, certificates, and signatures. Classical, symmetric-key, and public-key ciphers. Block modes of operation. Cryptanalysis including exhaustive search, man-in-the-middle, and birthday attacks. Programing projects involving implementation of cryptographic systems.","['MATH 170B, CPSC 131, CPSC 253', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
49,CPSC 375,Introduction to Data Science and Big Data (3),"Techniques for data preparation, exploratory analysis, statistical modeling, machine learning and visualization. Methods for analyzing different types of data, such as natural language and time-series, from emerging applications, including Internet-of-Things. Big data platforms. Projects with real-world data.","Techniques for data preparation, exploratory analysis, statistical modeling, machine learning and visualization. Methods for analyzing different types of data, such as natural language and time-series, from emerging applications, including Internet-of-Things. Big data platforms. Projects with real-world data.","['CPSC 131, MATH 338.']"
50,CPSC 386,Introduction to Game Design and Production (3),"Current and future technologies and market trends in game design and production. Game technologies, basic building tools for games and the process of game design, development and production.","Current and future technologies and market trends in game design and production. Game technologies, basic building tools for games and the process of game design, development and production.","['CPSC 121', 'completion of G.E. Category B.4', 'or Computer Science or Computer Engineering graduate standing.']"
51,CPSC 411,Mobile Device Application Programming (3),"Introduction to developing applications for mobile devices, including but not limited to runtime environments, development tools and debugging tools used in creating applications for mobile devices. Use emulators in lab. Students must provide their own mobile devices.","Introduction to developing applications for mobile devices, including but not limited to runtime environments, development tools and debugging tools used in creating applications for mobile devices. Use emulators in lab. Students must provide their own mobile devices.",['CPSC 131 or Computer Science or Computer Engineering graduate standing.']
52,CPSC 411A,Mobile Device Application Programming for Android (3),"Introduction to developing applications for Android mobile devices, including but not limited to runtime environments, development tools and debugging tools used in creating applications for mobile devices. Use emulators in lab. Students must provide own mobile devices.","Introduction to developing applications for Android mobile devices, including but not limited to runtime environments, development tools and debugging tools used in creating applications for mobile devices. Use emulators in lab. Students must provide own mobile devices.",['CPSC 131 or graduate standing.']
53,CPSC 431,Database and Applications (3),"Database design and application development techniques for a real world system. System analysis, requirement specifications, conceptual modeling, logic design, physical design and web interface development. Develop projects using contemporary database management system and web-based application development platform.","Database design and application development techniques for a real world system. System analysis, requirement specifications, conceptual modeling, logic design, physical design and web interface development. Develop projects using contemporary database management system and web-based application development platform.","['CPSC 332', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
54,CPSC 439,Theory of Computation (3),"Introduction to the theory of computation. Automata theory; finite state machines, context free grammars, and Turing machines; hierarchy of formal language classes. Computability theory and undecidable problems. Time complexity; P and NP-complete problems. Applications to software design and security.","Introduction to the theory of computation. Automata theory; finite state machines, context free grammars, and Turing machines; hierarchy of formal language classes. Computability theory and undecidable problems. Time complexity; P and NP-complete problems. Applications to software design and security.","['CPSC 121 or MATH 320', 'MATH 170B or MATH 280', 'or Computer Science or Computer Engineering graduate standing.']"
55,CPSC 440,Computer System Architecture (3),"Computer performance, price/performance, instruction set design and examples. Processor design, pipelining, memory hierarchy design and input/output subsystems.","Computer performance, price/performance, instruction set design and examples. Processor design, pipelining, memory hierarchy design and input/output subsystems.","['CPSC 240', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
56,CPSC 449,Web Back-End Engineering (3),"Design and architecture of large-scale web applications. Techniques for scalability, session management and load balancing. Dependency injection, application tiers, message queues, web services and REST architecture. Caching and eventual consistency. Data models, partitioning and replication in relational and non-relational databases.","Design and architecture of large-scale web applications. Techniques for scalability, session management and load balancing. Dependency injection, application tiers, message queues, web services and REST architecture. Caching and eventual consistency. Data models, partitioning and replication in relational and non-relational databases.",['CPSC 332 or Computer Science or Computer Engineering graduate standing.']
57,CPSC 454,Cloud Computing and Security (3),"Cloud computing and cloud security, distributed computing, computer clusters, grid computing, virtual machines and virtualization, cloud computing platforms and deployment models, cloud programming and software environments, vulnerabilities and risks of cloud computing, cloud infrastructure protection, data privacy and protection.","Cloud computing and cloud security, distributed computing, computer clusters, grid computing, virtual machines and virtualization, cloud computing platforms and deployment models, cloud programming and software environments, vulnerabilities and risks of cloud computing, cloud infrastructure protection, data privacy and protection.","['CPSC 351, CPSC 253', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
58,CPSC 455,Web Security (3),"Concepts of web application security. Web security mechanisms, including authentication, access control and protecting sensitive data. Common vulnerabilities, including code and SQL attacks, cross-site scripting and cross-site request forgery. Implement hands-on web application security mechanisms and security testing.","Concepts of web application security. Web security mechanisms, including authentication, access control and protecting sensitive data. Common vulnerabilities, including code and SQL attacks, cross-site scripting and cross-site request forgery. Implement hands-on web application security mechanisms and security testing.","['CPSC 351 or CPSC 353', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
59,CPSC 456,Network Security Fundamentals (3),"Learn about vulnerabilities of network protocols, attacks targeting confidentiality, integrity and availability of data transmitted across networks, and methods for diagnosing and closing security gaps through hands-on exercises.","Learn about vulnerabilities of network protocols, attacks targeting confidentiality, integrity and availability of data transmitted across networks, and methods for diagnosing and closing security gaps through hands-on exercises.","['CPSC 351', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
60,CPSC 458,Malware Analysis (3),"Introduction to principles and practices of malware analysis. Topics include static and dynamic code analysis, data decoding, analysis tools, debugging, shellcode analysis, reverse engineering of stealthy malware and written presentation of analysis results.","Introduction to principles and practices of malware analysis. Topics include static and dynamic code analysis, data decoding, analysis tools, debugging, shellcode analysis, reverse engineering of stealthy malware and written presentation of analysis results.",['CPSC 351 or Computer Science or Computer Engineering graduate standing.']
61,CPSC 459,Blockchain Technologies (3),Digital assets as a medium of exchange to secure financial transactions; decentralized and distributed ledgers that record verifiable transactions; smart contracts and Ethereum; Bitcoin mechanics and mining; the cryptocurrency ecosystem; blockchain mechanics and applications.,Digital assets as a medium of exchange to secure financial transactions; decentralized and distributed ledgers that record verifiable transactions; smart contracts and Ethereum; Bitcoin mechanics and mining; the cryptocurrency ecosystem; blockchain mechanics and applications.,"['CPSC 351, CPSC 352 or CPSC 353', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
62,CPSC 462,Software Design (3),"Concepts of software modeling, software process and some tools. Object-oriented analysis and design and Unified process. Some computer-aided software engineering (CASE) tools will be recommended to use for doing homework assignments.",CASE,"['CPSC 362', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
63,CPSC 463,Software Testing (3),"Software testing techniques, reporting problems effectively and planning testing projects. Students apply what they learned throughout the course to a sample application that is either commercially available or under development.","Software testing techniques, reporting problems effectively and planning testing projects. Students apply what they learned throughout the course to a sample application that is either commercially available or under development.","['CPSC 362', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
64,CPSC 464,Software Architecture (3),"Basic principles and practices of software design and architecture. High-level design, software architecture, documenting software architecture, software and architecture evaluation, software product lines and some considerations beyond software architecture.","Basic principles and practices of software design and architecture. High-level design, software architecture, documenting software architecture, software and architecture evaluation, software product lines and some considerations beyond software architecture.","['CPSC 362', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
65,CPSC 466,Software Process (3),"Practical guidance for improving the software development process. How to establish, maintain and improve software processes. Exposure to agile processes, ISO 12207 and CMMI.","Practical guidance for improving the software development process. How to establish, maintain and improve software processes. Exposure to agile processes, ISO 12207 and CMMI.",['CPSC 362 or Computer Science or Computer Engineering graduate standing.']
66,CPSC 474,Parallel and Distributed Computing (3),Concepts of distributed computing; distributed memory and shared memory architectures; parallel programming techniques; inter-process communication and synchronization; programming for parallel architectures such as multi-core and GPU platforms; project involving distributed application development.,Concepts of distributed computing; distributed memory and shared memory architectures; parallel programming techniques; inter-process communication and synchronization; programming for parallel architectures such as multi-core and GPU platforms; project involving distributed application development.,"['CPSC 351', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
67,CPSC 479,Introduction to High Performance Computing (3),"Introduction to the concepts of high-performance computing and the paradigms of parallel programming in a high level programming language, design and implementation of parallel algorithms on distributed memory, machine learning techniques on large data sets, implementation of parallel algorithms.","Introduction to the concepts of high-performance computing and the paradigms of parallel programming in a high level programming language, design and implementation of parallel algorithms on distributed memory, machine learning techniques on large data sets, implementation of parallel algorithms.","['CPSC 351 Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
68,CPSC 483,Introduction to Machine Learning (3),"Design, implement and analyze machine learning algorithms, including supervised learning and unsupervised learning algorithms. Methods to address uncertainty. Projects with real-world data.","Design, implement and analyze machine learning algorithms, including supervised learning and unsupervised learning algorithms. Methods to address uncertainty. Projects with real-world data.","['CPSC 335, MATH 338', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer engineering graduate standing.']"
69,CPSC 484,Principles of Computer Graphics (3),"Examine and analyze computer graphics, software structures, display processor organization, graphical input/output devices, display files. Algorithmic techniques for clipping, windowing, character generation and viewpoint transformation.","Examine and analyze computer graphics, software structures, display processor organization, graphical input/output devices, display files. Algorithmic techniques for clipping, windowing, character generation and viewpoint transformation.","['CPSC 131, MATH 150B, MATH 170B, junior or senior standing', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
70,CPSC 485,Computational Bioinformatics (3),"Algorithmic approaches to biological problems. Specific topics include motif finding, genome rearrangement, DNA sequence comparison, sequence alignment, DNA sequencing, repeat finding and gene expression analysis.","Algorithmic approaches to biological problems. Specific topics include motif finding, genome rearrangement, DNA sequence comparison, sequence alignment, DNA sequencing, repeat finding and gene expression analysis.","['CPSC 131', 'Computer Science or Computer Engineering major or minor', 'or Computer Science or Computer Engineering graduate standing.']"
